Sub_ID,Session,Block,Task,Reaction_Time,Performance
8203,s1,blk0,rt,245.0358578,0.9
8203,s1,blk1,rt,289.6251881,1
2011,s1,blk0,rt,281.1436569,1
2011,s1,blk1,rt,301.6396213,1
2011,s2,blk0,rt,251.8643624,0.95
2011,s2,blk1,rt,306.1793875,1
8213,s1,blk0,rt,410.6402725,1
8213,s1,blk1,rt,340.855323,1
2015,s1,blk0,rt,323.0335551,1
2015,s1,blk1,rt,338.400263,0.95
2015,s2,blk0,rt,349.2194435,1
2015,s2,blk1,rt,277.8170851,1
8204,s1,blk0,rt,262.9179763,0.95
8204,s1,blk1,rt,308.0242455,1
8204,s2,blk0,rt,293.032675,0.9
8204,s2,blk1,rt,314.0218827,1
2013,s1,blk0,rt,250.656558,1
2013,s1,blk1,rt,277.9749374,1
2013,s2,blk0,rt,246.0490386,1
2013,s2,blk1,rt,325.4855648,0.95
8212,s1,blk0,rt,235.9788143,1
8212,s1,blk1,rt,247.8139602,1
8212,s2,blk0,rt,240.1927014,1
8212,s2,blk1,rt,241.1567617,1
8217,s1,blk0,rt,286.3236134,1
8217,s1,blk1,rt,284.5415758,1
2002,s1,blk0,rt,293.1557864,1
2002,s1,blk1,rt,252.661543,1
2002,s2,blk0,rt,254.9167156,1
2002,s2,blk1,rt,324.3386454,1
2004,s1,blk0,rt,306.3279608,1
2004,s1,blk1,rt,353.7183887,0.95
2014,s1,blk0,rt,302.1209987,1
2014,s1,blk1,rt,326.2595362,0.95
2014,s2,blk0,rt,366.6165133,1
2014,s2,blk1,rt,340.1263686,0.95
8201,s1,blk0,rt,426.5815108,1
8201,s1,blk1,rt,382.8473457,1
8215,s1,blk0,rt,278.8640077,1
8215,s1,blk1,rt,307.4510386,1
8219,s1,blk0,rt,246.4809215,1
8219,s1,blk1,rt,257.9581447,0.95
8211,s1,blk0,rt,256.3648899,0.95
8211,s1,blk1,rt,247.0702866,0.9
8211,s2,blk0,rt,264.9748805,1
8211,s2,blk1,rt,286.0830944,1
2001,s1,blk0,rt,272.4676227,1
2001,s1,blk1,rt,273.8901103,1
8221,s2,blk0,rt,262.1122222,1
8221,s2,blk1,rt,267.1119327,1
2006,s1,blk0,rt,270.6898855,0.95
2006,s1,blk1,rt,304.7754871,0.95
2006,s2,blk0,rt,245.8457273,1
2006,s2,blk1,rt,460.6876785,1
8210,s1,blk0,rt,294.5966054,1
8210,s1,blk1,rt,339.9863339,1
8210,s2,blk0,rt,307.2046531,0.85
8210,s2,blk1,rt,320.873916,1
8218,s1,blk0,rt,317.2854572,1
8218,s1,blk1,rt,384.1788842,1
2017,s1,blk0,rt,300.1638215,0.95
2019,s1,blk0,rt,464.2947484,1
2019,s1,blk1,rt,408.8511652,0.9
2003,s1,blk0,rt,323.7626707,0.8
2003,s1,blk1,rt,280.8617828,0.95
8209,s1,blk0,rt,529.1144508,1
8209,s1,blk1,rt,394.5491741,0.95
8209,s2,blk0,rt,382.0067341,1
8209,s2,blk1,rt,390.2217792,1
8208,s1,blk0,rt,368.1183339,1
8208,s1,blk1,rt,350.4316716,1
8208,s1,blk2,rt,391.0739047,1
8208,s2,blk0,rt,226.5591231,0.8
8208,s2,blk1,rt,403.6059075,0.95
2012,s1,blk0,rt,255.6819374,1
2012,s1,blk1,rt,299.3321266,0.9
2012,s2,blk0,rt,285.0915811,1
2012,s2,blk1,rt,291.9396712,0.95
8216,s1,blk0,rt,286.1314666,1
8216,s1,blk1,rt,300.4068201,1
8216,s2,blk0,rt,349.523282,1
8216,s2,blk1,rt,296.9479031,1
8206,s1,blk0,rt,300.6362608,1
8206,s1,blk1,rt,319.8851693,1
8206,s2,blk0,rt,300.3329003,1
8206,s2,blk1,rt,293.2911092,0.95
8220,s1,blk0,rt,292.6775079,1
8220,s1,blk1,rt,314.3737892,1
2007,s1,blk0,rt,258.0682549,0.95
2007,s1,blk1,rt,423.9717098,1
8205,s2,blk0,rt,395.6267498,0.9
8205,s2,blk1,rt,293.757162,0.95
8203,s1,blk0,es,567.395751,0.85
8203,s1,blk1,es,588.6620028,0.9
2011,s1,blk0,es,549.8995176,0.95
2011,s1,blk1,es,544.8198034,1
2011,s2,blk0,es,599.3085155,1
2011,s2,blk1,es,611.9685701,1
8213,s1,blk0,es,658.8788272,0.95
8213,s1,blk1,es,655.0636466,1
2015,s1,blk0,es,562.1478804,1
2015,s1,blk1,es,541.5941502,0.95
2015,s2,blk0,es,645.832712,0.95
2015,s2,blk1,es,624.7861553,1
8204,s1,blk0,es,659.5592837,0.85
8204,s1,blk1,es,649.7586052,1
8204,s2,blk0,es,662.9663812,0.95
8204,s2,blk1,es,580.4832377,1
2013,s1,blk0,es,489.6949203,0.95
2013,s1,blk1,es,448.3435057,0.95
2013,s2,blk0,es,576.7706404,0.95
2013,s2,blk1,es,480.5776621,0.9
8212,s1,blk0,es,611.5693165,1
8212,s1,blk1,es,601.319348,0.85
8212,s2,blk0,es,482.5323148,1
8212,s2,blk1,es,431.3441693,1
8217,s1,blk0,es,586.592357,1
8217,s1,blk1,es,523.1365005,0.95
2002,s1,blk0,es,554.0669955,1
2002,s1,blk1,es,581.0771671,1
2002,s2,blk0,es,583.389598,1
2002,s2,blk1,es,609.2249879,1
2004,s1,blk0,es,754.3231631,1
2004,s1,blk1,es,601.9082309,0.95
2014,s1,blk0,es,599.9634254,1
2014,s1,blk1,es,742.656292,0.95
2014,s2,blk0,es,613.1475299,0.85
2014,s2,blk1,es,612.4140595,0.95
8201,s1,blk0,es,910.359704,0.9
8201,s1,blk1,es,1046.584247,0.95
8215,s1,blk0,es,506.5121534,0.95
8215,s1,blk1,es,448.8571271,0.95
8219,s1,blk0,es,674.8022665,1
8219,s1,blk1,es,725.1372566,0.95
8211,s1,blk0,es,510.6255559,0.9
8211,s1,blk1,es,657.7172234,0.95
8211,s2,blk0,es,652.867706,0.95
8211,s2,blk1,es,526.115151,1
2001,s1,blk0,es,563.8348156,0.95
2001,s1,blk1,es,596.3891719,0.95
8221,s2,blk0,es,516.732176,0.95
8221,s2,blk1,es,533.4303848,0.95
2006,s1,blk0,es,708.2744646,0.95
2006,s1,blk1,es,589.068129,0.95
2006,s2,blk0,es,729.9077471,1
2006,s2,blk1,es,742.8430843,0.823529412
8210,s1,blk0,es,641.8422426,1
8210,s1,blk1,es,721.5944813,0.9
8210,s2,blk0,es,659.8779215,1
8210,s2,blk1,es,651.4336571,1
8218,s1,blk0,es,710.6721779,1
8218,s1,blk1,es,706.265751,1
2017,s1,blk0,es,695.0980352,1
2019,s1,blk0,es,641.6206398,0.95
2019,s1,blk1,es,831.6588595,0.95
2003,s1,blk0,es,585.3165605,1
2003,s1,blk1,es,591.3098104,0.9
8209,s1,blk0,es,660.6585225,1
8209,s1,blk1,es,683.2892078,1
8209,s2,blk0,es,668.1202332,0.95
8209,s2,blk1,es,679.6299323,1
8208,s1,blk0,es,577.5397733,0.95
8208,s1,blk1,es,624.279853,1
8208,s2,blk0,es,714.4337195,1
8208,s2,blk1,es,586.7983422,0.85
2012,s1,blk0,es,585.8591263,1
2012,s1,blk1,es,616.1900326,0.9
2012,s2,blk0,es,572.7599586,0.9
2012,s2,blk1,es,535.7534172,0.95
8216,s1,blk0,es,672.7614029,1
8216,s1,blk1,es,744.3315527,1
8216,s2,blk0,es,784.944163,0.95
8216,s2,blk1,es,693.9301176,1
8206,s1,blk0,es,721.4133981,0.95
8206,s1,blk1,es,625.0348538,0.95
8206,s2,blk0,es,619.3664223,0.8
8206,s2,blk1,es,669.2458511,1
8220,s1,blk0,es,635.3165945,0.95
8220,s1,blk1,es,614.3456978,1
2007,s1,blk0,es,800.7764978,1
2007,s1,blk1,es,729.5150994,0.95
8205,s2,blk0,es,671.0477396,1
8205,s2,blk1,es,643.3921125,0.95
8203,s1,blk0,ewm,971.8899523,0.80952381
8203,s1,blk1,ewm,928.9963399,0.916666667
2011,s1,blk0,ewm,837.6336077,0.920634921
2011,s1,blk1,ewm,711.0919656,0.983333333
2011,s2,blk0,ewm,672.1213607,0.95
2011,s2,blk1,ewm,720.9158308,0.95
8213,s1,blk0,ewm,1050.026484,0.806451613
8213,s1,blk1,ewm,1046.891263,0.983333333
2015,s1,blk0,ewm,885.0146846,0.967213115
2015,s1,blk1,ewm,810.2809904,0.966666667
2015,s2,blk0,ewm,726.0473917,0.9
2015,s2,blk1,ewm,717.061167,0.983333333
8204,s1,blk0,ewm,960.7154411,0.85483871
8204,s1,blk1,ewm,909.4720693,0.966666667
8204,s2,blk0,ewm,855.3602145,0.983333333
8204,s2,blk1,ewm,846.533638,0.95
2013,s1,blk0,ewm,740.4910953,0.983333333
2013,s1,blk1,ewm,755.4783951,0.966666667
2013,s2,blk0,ewm,746.4006854,0.95
2013,s2,blk1,ewm,763.6734224,0.933333333
8212,s1,blk0,ewm,901.236295,0.935483871
8212,s1,blk1,ewm,1086.997715,0.983333333
8212,s2,blk0,ewm,913.2917575,0.936507937
8212,s2,blk1,ewm,896.7534054,0.95
8217,s1,blk0,ewm,968.9099361,0.950819672
8217,s1,blk1,ewm,912.6929774,0.95
2002,s1,blk0,ewm,632.476563,0.950819672
2002,s1,blk1,ewm,819.6928917,0.9
2002,s2,blk0,ewm,625.5968149,0.966666667
2002,s2,blk1,ewm,736.7711275,0.983333333
2004,s1,blk0,ewm,1062.259453,0.863636364
2004,s1,blk1,ewm,1048.537152,1
2014,s1,blk0,ewm,765.9011777,0.916666667
2014,s1,blk1,ewm,677.0755245,0.916666667
2014,s2,blk0,ewm,761.7023204,0.966666667
2014,s2,blk1,ewm,678.7748105,0.966666667
8201,s1,blk0,ewm,1115.94481,0.594594595
8201,s1,blk1,ewm,1312.566208,0.9
8215,s1,blk0,ewm,909.9707462,0.9
8215,s1,blk1,ewm,996.3478034,0.883333333
8219,s1,blk0,ewm,1168.972126,0.841269841
8219,s1,blk1,ewm,1083.933738,0.966666667
8211,s1,blk0,ewm,899.3393085,0.918032787
8211,s1,blk1,ewm,1254.934787,0.866666667
8211,s2,blk0,ewm,839.228674,0.903225806
8211,s2,blk1,ewm,972.3718502,0.933333333
2001,s1,blk0,ewm,1094.691539,0.828571429
2001,s1,blk1,ewm,1222.972522,1
8221,s2,blk0,ewm,832.6491463,0.966666667
8221,s2,blk1,ewm,838.4619218,0.966666667
2006,s1,blk0,ewm,878.4468601,0.859375
2006,s1,blk1,ewm,700.308235,0.883333333
2006,s2,blk0,ewm,694.799335,0.933333333
2006,s2,blk1,ewm,831.6873448,0.866666667
8210,s1,blk0,ewm,790.0243967,0.825396825
8210,s1,blk1,ewm,871.1445667,0.9
8210,s2,blk0,ewm,877.519383,0.857142857
8210,s2,blk1,ewm,746.09965,0.816666667
8218,s1,blk0,ewm,1158.297139,0.857142857
8218,s1,blk1,ewm,1191.256726,0.933333333
2017,s1,blk0,ewm,900.7873945,0.868852459
2019,s1,blk0,ewm,1246.576836,0.733333333
2019,s1,blk1,ewm,827.2158755,0.933333333
2003,s1,blk0,ewm,918.7940023,0.919354839
2003,s1,blk1,ewm,956.1686643,0.883333333
8209,s1,blk0,ewm,1086.913503,0.93442623
8209,s1,blk1,ewm,1130.640117,0.766666667
8209,s2,blk0,ewm,935.215111,0.933333333
8209,s2,blk1,ewm,1021.230136,0.9
8208,s1,blk0,ewm,1000.985832,0.873015873
8208,s1,blk1,ewm,1301.622284,0.816666667
8208,s2,blk0,ewm,1038.648014,0.705882353
8208,s2,blk1,ewm,888.3640697,0.933333333
2012,s1,blk0,ewm,874.0161023,0.873015873
2012,s1,blk1,ewm,855.7794641,0.916666667
2012,s2,blk0,ewm,851.2832175,0.93442623
2012,s2,blk1,ewm,903.8609793,0.9
8216,s1,blk0,ewm,910.8103577,0.95
8216,s1,blk1,ewm,959.1179315,0.95
8216,s2,blk0,ewm,949.915835,0.951612903
8216,s2,blk1,ewm,882.4960637,0.966666667
8206,s1,blk0,ewm,888.4657754,0.983333333
8206,s1,blk1,ewm,1100.348479,0.95
8206,s2,blk0,ewm,882.9327431,0.950819672
8206,s2,blk1,ewm,950.4262169,0.95
8220,s1,blk0,ewm,1036.81061,0.848484848
8220,s1,blk1,ewm,815.4806829,0.95
2007,s1,blk0,ewm,986.2062626,0.936507937
2007,s1,blk1,ewm,798.497112,0.783333333
8205,s2,blk0,ewm,1014.990526,0.904761905
8205,s2,blk1,ewm,994.2970747,0.816666667
2011,s1,blk0,anb,1328.52181,0.681818182
2011,s1,blk1,anb,1366.323527,1
2011,s2,blk0,anb,1210.047308,0.653846154
2011,s2,blk1,anb,1308.856724,1
2015,s1,blk0,anb,1039.714518,1
2015,s1,blk1,anb,1199.03063,0.9
2015,s2,blk0,anb,1238.600828,0.85
2015,s2,blk1,anb,1146.191981,0.95
8204,s2,blk0,anb,1154.913487,0.8
8204,s2,blk1,anb,956.4220433,1
2013,s1,blk0,anb,1302.549942,0.833333333
2013,s1,blk1,anb,1016.356822,0.85
2013,s2,blk0,anb,1007.845054,0.523809524
8212,s2,blk0,anb,938.6651155,0.75
8212,s2,blk1,anb,1155.995938,0.95
2002,s1,blk0,anb,1009.422448,1
2002,s1,blk1,anb,1046.945739,1
2002,s2,blk0,anb,349.4408007,0.35
2002,s2,blk1,anb,860.173928,0.95
2004,s1,blk0,anb,1360.162205,0.52173913
2004,s1,blk1,anb,1431.001454,0.761904762
2014,s1,blk0,anb,967.6116236,0.652173913
2014,s1,blk1,anb,1106.283861,0.75
2014,s2,blk0,anb,992.2304124,0.85
8215,s1,blk0,anb,1036.478363,0.904761905
8215,s1,blk1,anb,1113.585736,0.818181818
8211,s2,blk0,anb,832.8864562,0.95
2001,s1,blk0,anb,951.9567635,0.7
2001,s1,blk1,anb,1123.512045,0.9
8221,s2,blk0,anb,853.9852521,0.9
2006,s1,blk0,anb,1118.508953,0.9
2006,s1,blk1,anb,1227.620531,0.75
2006,s2,blk0,anb,853.1627489,0.739130435
8210,s1,blk0,anb,1330.452407,0.952380952
8210,s1,blk1,anb,1607.342956,0.9
8210,s2,blk0,anb,1128.924628,0.727272727
8210,s2,blk1,anb,1060.570919,0.95
2017,s1,blk0,anb,1065.411594,0.8
2019,s1,blk0,anb,1198.968024,0.652173913
2019,s1,blk1,anb,1422.64677,0.9
2003,s1,blk0,anb,1076.862194,0.95
2003,s1,blk1,anb,1163.227923,0.904761905
8209,s2,blk0,anb,1209.566367,0.681818182
8208,s2,blk0,anb,1019.807656,0.590909091
8208,s2,blk1,anb,1165.581672,0.8
2012,s1,blk0,anb,1306.142963,0.818181818
2012,s2,blk0,anb,1178.183559,0.714285714
2012,s2,blk1,anb,1374.714804,0.9
8216,s2,blk0,anb,959.2669711,0.619047619
8216,s2,blk1,anb,1324.790114,0.7
8206,s2,blk0,anb,401.5370008,0.565217391
8206,s2,blk1,anb,903.9971463,0.761904762
8220,s1,blk0,anb,942.3991991,0.65
8220,s1,blk1,anb,965.7282888,0.727272727
2007,s1,blk0,anb,1130.08486,0.666666667
2007,s1,blk1,anb,969.9328634,0.857142857
8205,s2,blk0,anb,1153.980436,1
8203,s1,blk0,nb,938.9413216,0.333333333
8203,s1,blk1,nb,896.7338242,0.6
2011,s1,blk0,nb,832.6840255,0.5
2011,s1,blk1,nb,1004.357519,0.95
2011,s2,blk0,nb,951.321218,0.95
2011,s2,blk1,nb,1101.290787,0.904761905
8213,s1,blk0,nb,1140.491647,0.583333333
8213,s1,blk1,nb,1417.581522,0.6
2015,s1,blk0,nb,933.193254,0.8
2015,s1,blk1,nb,810.6126773,0.761904762
2015,s2,blk0,nb,659.0114984,0.238095238
2015,s2,blk1,nb,880.7429445,0.95
8204,s1,blk0,nb,949.4376503,0.8
8204,s1,blk1,nb,854.1623117,1
8204,s2,blk0,nb,920.0462568,0.8
8204,s2,blk1,nb,932.2489317,1
2013,s1,blk0,nb,929.9572116,0.772727273
2013,s1,blk1,nb,943.7024436,0.95
2013,s2,blk0,nb,728.5069493,0.85
2013,s2,blk1,nb,746.9509498,0.95
8212,s1,blk0,nb,698.2843782,1
8212,s1,blk1,nb,866.8585356,0.85
8212,s2,blk0,nb,675.3378564,0.9
8212,s2,blk1,nb,794.7728497,1
8217,s1,blk0,nb,1021.024014,0.9
8217,s1,blk1,nb,1091.504338,1
2002,s1,blk0,nb,816.6111641,0.857142857
2002,s1,blk1,nb,651.953588,0.9
2002,s2,blk0,nb,546.284628,1
2002,s2,blk1,nb,1301.615307,0.8
2004,s1,blk0,nb,988.3743308,0.590909091
2004,s1,blk1,nb,1126.838085,0.8
2014,s1,blk0,nb,805.6080514,0.666666667
2014,s1,blk1,nb,832.0281712,0.9
2014,s2,blk0,nb,702.9344595,0.95
2014,s2,blk1,nb,868.0109897,0.95
8201,s1,blk0,nb,1089.264243,0.259259259
8201,s1,blk1,nb,1390.583258,0.454545455
8215,s1,blk0,nb,913.7701616,0.904761905
8215,s1,blk1,nb,1158.728333,0.95
8219,s1,blk0,nb,1233.293702,0.545454545
8219,s1,blk1,nb,1281.057805,0.85
8211,s1,blk0,nb,785.2256979,0.9
8211,s1,blk1,nb,809.8610327,0.857142857
8211,s2,blk0,nb,659.7637228,0.9
8211,s2,blk1,nb,826.2835628,0.85
2001,s1,blk0,nb,845.5494794,0.75
2001,s1,blk1,nb,929.8843113,0.65
8221,s2,blk0,nb,553.2496629,0.619047619
8221,s2,blk1,nb,752.9309523,0.95
2006,s1,blk0,nb,1054.600536,0.863636364
2006,s1,blk1,nb,928.1576577,0.9
2006,s2,blk0,nb,911.2673396,1
2006,s2,blk1,nb,892.6662872,0.95
8210,s1,blk0,nb,1078.923554,0.625
8210,s1,blk1,nb,1324.719913,0.8
8210,s2,blk0,nb,1050.918897,0.625
8210,s2,blk1,nb,769.2857,1
8218,s1,blk0,nb,1065.061697,0.65
8218,s1,blk1,nb,1045.449564,0.9
2017,s1,blk0,nb,1229.324383,0.727272727
2019,s1,blk0,nb,975.9028843,0.818181818
2019,s1,blk1,nb,1042.008914,0.714285714
2003,s1,blk0,nb,939.4255835,0.428571429
2003,s1,blk1,nb,757.6665571,0.9
8209,s1,blk0,nb,1098.07203,0.571428571
8209,s1,blk1,nb,1430.489061,0.65
8209,s2,blk0,nb,803.8723512,0.75
8209,s2,blk1,nb,1010.141359,0.9
8208,s1,blk0,nb,780.2728718,0.75
8208,s1,blk1,nb,1003.395931,0.75
8208,s2,blk0,nb,798.6581569,0.7
8208,s2,blk1,nb,1050.816212,0.85
2012,s1,blk0,nb,1140.613329,0.76
2012,s1,blk1,nb,1445.849768,0.714285714
2012,s2,blk0,nb,1003.675033,0.772727273
2012,s2,blk1,nb,1143.3004,0.652173913
8216,s1,blk0,nb,998.9101009,0.772727273
8216,s1,blk1,nb,1417.568211,0.65
8216,s2,blk0,nb,782.7627779,0.8
8216,s2,blk1,nb,1144.699843,0.75
8206,s1,blk0,nb,937.8794216,0.9
8206,s1,blk1,nb,968.289144,0.65
8206,s2,blk0,nb,715.2389575,0.95
8206,s2,blk1,nb,645.1849038,0.95
8220,s1,blk0,nb,969.9318827,0.9
8220,s1,blk1,nb,869.0363393,0.8
2007,s1,blk0,nb,906.0556307,0.65
2007,s1,blk1,nb,529.2851264,0.636363636
8205,s2,blk0,nb,936.630186,0.681818182
8205,s2,blk1,nb,929.6769323,0.95
8203,s1,blk0,gng,269.1756477,0.95
8203,s1,blk1,gng,244.294991,1
2011,s1,blk0,gng,217.8059108,1
2011,s1,blk1,gng,360.6013811,1
2011,s2,blk0,gng,284.4544384,0.95
2011,s2,blk1,gng,267.9710909,1
8213,s1,blk0,gng,357.2535211,1
8213,s1,blk1,gng,272.6575744,1
2015,s1,blk0,gng,327.6681777,0.85
2015,s1,blk1,gng,224.7402399,1
2015,s2,blk0,gng,272.4539626,1
2015,s2,blk1,gng,296.4075726,1
8204,s1,blk0,gng,201.5874162,1
8204,s1,blk1,gng,173.7996538,0.95
8204,s2,blk0,gng,290.1416391,0.95
8204,s2,blk1,gng,236.1089175,1
2013,s1,blk0,gng,308.2742013,0.9
2013,s1,blk1,gng,173.4899202,1
2013,s2,blk0,gng,268.2575226,0.85
2013,s2,blk1,gng,193.8094895,1
8212,s1,blk0,gng,198.388096,1
8212,s1,blk1,gng,195.2114922,1
8212,s2,blk0,gng,277.7388046,1
8212,s2,blk1,gng,232.8544642,1
8217,s1,blk0,gng,214.4331813,1
8217,s1,blk1,gng,261.4434135,1
2002,s1,blk0,gng,206.7616638,1
2002,s1,blk1,gng,203.3941646,0.95
2002,s2,blk0,gng,282.0849538,1
2002,s2,blk1,gng,170.5101424,1
2004,s1,blk0,gng,354.1483223,0.95
2004,s1,blk1,gng,350.771098,1
2014,s1,blk0,gng,261.3639804,0.95
2014,s1,blk1,gng,313.7371822,1
2014,s2,blk0,gng,330.4820396,0.9
2014,s2,blk1,gng,287.5957706,0.95
8201,s1,blk0,gng,322.1160513,0.95
8201,s1,blk1,gng,494.5327214,0.95
8215,s1,blk0,gng,251.4862098,1
8215,s1,blk1,gng,194.307333,1
8219,s1,blk0,gng,251.9219051,1
8219,s1,blk1,gng,349.6488851,0.75
8211,s1,blk0,gng,292.2318524,0.95
8211,s1,blk1,gng,294.336663,1
8211,s2,blk0,gng,113.661517,1
8211,s2,blk1,gng,265.4176637,1
2001,s1,blk0,gng,241.9104612,0.95
2001,s1,blk1,gng,135.7818162,0.95
8221,s2,blk0,gng,167.25203,1
8221,s2,blk1,gng,246.7619088,0.95
2006,s1,blk0,gng,183.3436492,1
2006,s1,blk1,gng,261.5222397,0.95
2006,s2,blk0,gng,216.8206751,0.9
2006,s2,blk1,gng,252.5527016,0.75
8210,s1,blk0,gng,254.6851445,0.95
8210,s1,blk1,gng,246.0033812,1
8210,s2,blk0,gng,219.7201524,0.85
8210,s2,blk1,gng,320.9366879,1
8218,s1,blk0,gng,386.1223677,0.95
8218,s1,blk1,gng,347.4445813,1
2017,s1,blk0,gng,304.1132891,0.95
2017,s1,blk1,gng,271.317386,0.9
2019,s1,blk0,gng,339.1885931,0.952380952
2019,s1,blk1,gng,435.3686793,0.95
2003,s1,blk0,gng,132.979284,1
2003,s1,blk1,gng,259.2749555,1
8209,s1,blk0,gng,472.7746615,1
8209,s1,blk1,gng,350.3882941,1
8209,s1,blk2,gng,263.9280037,1
8209,s2,blk0,gng,269.9610898,1
8209,s2,blk1,gng,349.4454002,0.95
8208,s1,blk0,gng,353.2416677,1
8208,s1,blk1,gng,310.738973,1
8208,s2,blk0,gng,253.4369682,1
8208,s2,blk1,gng,293.0682171,0.95
2012,s1,blk0,gng,172.9270809,0.95
2012,s1,blk1,gng,190.6273265,1
2012,s2,blk0,gng,290.3236711,0.95
2012,s2,blk1,gng,391.1119524,0.95
8216,s1,blk0,gng,450.5137425,1
8216,s1,blk1,gng,329.5528935,0.95
8216,s2,blk0,gng,342.5348331,1
8216,s2,blk1,gng,445.3019833,1
8206,s1,blk0,gng,270.9564681,0.95
8206,s1,blk1,gng,245.171247,1
8206,s2,blk0,gng,297.7351538,0.95
8206,s2,blk1,gng,291.5991984,0.95
8220,s1,blk0,gng,232.7548021,1
8220,s1,blk1,gng,333.1311538,1
2007,s1,blk0,gng,271.4088248,0.95
2007,s1,blk1,gng,436.5311001,0.95
8205,s2,blk0,gng,407.5706085,0.95
8205,s2,blk1,gng,265.7301679,0.95